"ID";"target";"eta_df";"multiplic";"shift";"epsilon_df";"meanshift";"strength";"F_id";"N";"pvSet_1";"pvSet_2";"pvSet_3";"pvSet_4";"pvSet_5";"pvSet_6";"pvSet_7";"pvSet_8";"pvSet_9";"pvSet_10";"pvSet_11";"pvSet_12";"pvSet_13";"pvSet_14";"pvSet_15";"pvSet_16";"pvSet_17";"pvSet_18";"pvSet_19";"pvSet_20";"pvSet_21";"pvSet_22";"pvSet_23";"pvSet_24";"pvSet_25";"pvSet_26";"pvSet_27";"pvSet_28";"pvSet_29";"pvSet_30";"pvSet_31"
"s-907831";"Z_2";"50";"product";"TRUE";"3";"2";"0.2";"4";"200";"0.4645";"0.3078";"0.4926";"0.4743";"0.4414";"0.6804";"0.3414";"0.5194";"0.4768";"0.2525";"0.3118";"0.2593";"0.4931";"0.5026";"0.4424";"0.5094";"0.7145";"0.2537";"0.3941";"0.3567";"0.255";"0.3051";"0.2451";"0.1996";"0.5421";"0.2923";"0.2397";"0.1889";"0.1751";"0.1944";"0.1776"
"d-676773";"Z_4";"3";"product";"TRUE";"5";"0.1";"2";"2";"200";"12.008";"12.407";"0.1652";"15.946";"15.825";"0.9475";"0.2222";"13.374";"18.445";"0.0335";"14.395";"12.082";"0.2188";"14.183";"10.706";"0.0874";"11.364";"16.091";"0.2995";"14.461";"14.557";"0.047";"10.746";"0.5827";"15.848";"0.0863";"15.078";"0.9834";"16.458";"12.979";"16.523"
"y-589096";"Z_6";"20";"product";"TRUE";"20";"0.1";"0.5";"1";"200";"0.0614";"0.2972";"16.854";"0.3228";"0.0718";"0.2305";"17.564";"0.2308";"0.0718";"17.083";"0.2514";"0.3304";"13.757";"16.177";"0.475";"17.565";"0.2669";"0.2305";"0.9985";"16.206";"0.4718";"12.795";"15.638";"0.2574";"14.294";"10.213";"16.356";"0.2296";"11.215";"13.406";"13.258"
"j-893331";"Z_6";"2";"product";"FALSE";"3";"1";"10";"3";"200";"0";"0";"2,00E-04";"0";"0.0016";"0";"0.0027";"0";"0.0018";"0.1793";"0";"2,00E-04";"0.1211";"0.1642";"0.0012";"0.3039";"0";"6,00E-04";"0.8472";"0.3777";"0.0202";"0.719";"17.103";"5,00E-04";"0.4045";"14.952";"1.904";"0.0182";"0.4524";"0.4137";"0.4596"
"p-972464";"Z_2";"100";"sum";"FALSE";"20";"0.2";"0.1";"2";"200";"11.286";"0.1382";"0.4532";"0.3575";"0.6513";"0.6219";"11.283";"11.743";"0.515";"0.1141";"0.0853";"0.1826";"0.3715";"0.7583";"0.5548";"0.7852";"0.753";"0.5914";"11.765";"0.5231";"0.6537";"0.0776";"0.1991";"0.126";"0.6373";"0.8113";"0.5825";"0.913";"0.6833";"0.1467";"0.7682"
"u-454057";"Z_2";"10";"sum";"TRUE";"50";"5";"0.1";"1";"200";"0.6967";"0.0044";"0.1463";"0.1148";"0.1839";"0.1661";"10.294";"0.5857";"10.488";"0.0054";"0.0025";"0.0023";"0.0783";"0.1406";"0.0246";"0.2886";"0.0681";"0.135";"12.123";"0.9802";"0.9084";"0.0027";"0.0034";"0.002";"0.0411";"0.1318";"0.1597";"0.0876";"0.9656";"0.0027";"0.1265"
"g-908517";"Z_6";"20";"sum";"TRUE";"50";"1";"1";"1";"200";"0.1735";"0.3202";"0.9793";"0.014";"0.3852";"0.2313";"0.9457";"0.0429";"0.4025";"0.9372";"0.011";"0.6657";"0.2395";"0.4413";"0.7448";"0.9681";"0.0106";"0.824";"0.4739";"0.4659";"0.9976";"0.4606";"0.4887";"0.4144";"0.8664";"0.4519";"0.4844";"0.6303";"0.9343";"0.5323";"0.4945"
"b-378477";"Z_1";"50";"product";"FALSE";"3";"5";"0.5";"4";"200";"0.8821";"0.8549";"0.6966";"0.8469";"0.6857";"0.8579";"0.6956";"0.8777";"0.7777";"0.6945";"0.8434";"0.6775";"0.6856";"0.4123";"0.6599";"0.6909";"0.8553";"0.7876";"0.7162";"0.4977";"0.742";"0.6936";"0.4239";"0.6559";"0.3969";"0.6886";"0.505";"0.7495";"0.4803";"0.4062";"0.4941"
"i-322737";"Z_5";"50";"product";"FALSE";"10";"10";"0";"2";"200";"0.553";"10.077";"0.9085";"0.8478";"0.92";"0.553";"0.5721";"0.4521";"0.4676";"0.9106";"0.8279";"0.9393";"0.8788";"0.7174";"0.7082";"0.5788";"0.4513";"0.4656";"0.4997";"0.4453";"0.3218";"0.8641";"0.7196";"0.6936";"0.6827";"0.5233";"0.4354";"0.3095";"0.3393";"0.6716";"0.3487"
"h-903847";"Z_6";"20";"product";"FALSE";"100";"0";"5";"3";"200";"0.2446";"0.4454";"0.0564";"0.0086";"0.3987";"0.4446";"0.0598";"0.0094";"0.3965";"0.1048";"0.0155";"0.7658";"0.0026";"0.15";"0.0163";"0.1092";"0.0162";"0.7401";"0.0024";"0.1966";"0.027";"0.0037";"0.138";"0.0418";"0.2309";"0.0035";"0.1218";"0.0776";"0.172";"0.29";"0.2336"
