"set";"pvalue";"beta_gender_male";"beta_ethnicity_other";"beta_ethnicity_afam";"beta_score";"beta_fcollege_no";"beta_mcollege_no";"beta_home_no";"beta_urban_no";"beta_unemp";"beta_wage";"sd_gender_male";"sd_ethnicity_other";"sd_ethnicity_afam";"sd_score";"sd_fcollege_no";"sd_mcollege_no";"sd_home_no";"sd_urban_no";"sd_unemp";"sd_wage"
"359";"0.004";"0";"0";"0";"0.041";"-0.358";"0";"0";"-0.028";"0";"-0.018";"0";"0";"0";"0.002";"0.034";"0";"0";"0.031";"0";"0.01"
"360";"0.009";"0";"0";"0";"0.041";"-0.362";"0";"0";"0";"0.007";"-0.022";"0";"0";"0";"0.002";"0.034";"0";"0";"0";"0.005";"0.01"
"361";"0.008";"0";"0";"0";"0.041";"0";"-0.378";"-0.067";"-0.029";"0";"0";"0";"0";"0";"0.002";"0";"0.039";"0.035";"0.032";"0";"0"
"362";"0.009";"0";"0";"0";"0.041";"0";"-0.379";"-0.064";"0";"0.002";"0";"0";"0";"0";"0.002";"0";"0.039";"0.035";"0";"0.005";"0"
"363";"0.003";"0";"0";"0";"0.042";"0";"-0.377";"-0.068";"0";"0";"-0.019";"0";"0";"0";"0.002";"0";"0.039";"0.035";"0";"0";"0.01"
"364";"0.008";"0";"0";"0";"0.042";"0";"-0.383";"0";"-0.025";"0.003";"0";"0";"0";"0";"0.002";"0";"0.039";"0";"0.032";"0.005";"0"
"365";"0.006";"0";"0";"0";"0.042";"0";"-0.38";"0";"-0.023";"0";"-0.018";"0";"0";"0";"0.002";"0";"0.039";"0";"0.031";"0";"0.01"
"366";"0.001";"0";"0";"0";"0.042";"0";"-0.383";"0";"0";"0.005";"-0.021";"0";"0";"0";"0.002";"0";"0.039";"0";"0";"0.005";"0.01"
"367";"0.01";"0";"0";"0";"0.044";"0";"0";"-0.081";"-0.024";"-0.001";"0";"0";"0";"0";"0.002";"0";"0";"0.035";"0.032";"0.005";"0"
"368";"0.002";"0";"0";"0";"0.045";"0";"0";"-0.084";"-0.023";"0";"-0.019";"0";"0";"0";"0.002";"0";"0";"0.035";"0.032";"0";"0.01"
