"set";"pvalue";"beta_gender_male";"beta_ethnicity_other";"beta_ethnicity_afam";"beta_score";"beta_fcollege_no";"beta_mcollege_no";"beta_home_no";"beta_urban_no";"beta_unemp";"beta_wage";"sd_gender_male";"sd_ethnicity_other";"sd_ethnicity_afam";"sd_score";"sd_fcollege_no";"sd_mcollege_no";"sd_home_no";"sd_urban_no";"sd_unemp";"sd_wage"
"466";"0.006";"-0.01";"0";"-0.193";"0";"-0.558";"0";"0";"0";"0.001";"0.003";"0.028";"0";"0.038";"0";"0.035";"0";"0";"0";"0.005";"0.011"
"467";"0.007";"-0.005";"0";"-0.229";"0";"0";"-0.566";"-0.144";"-0.006";"0";"0";"0.028";"0";"0.039";"0";"0";"0.041";"0.037";"0.034";"0";"0"
"468";"0";"-0.005";"0";"-0.228";"0";"0";"-0.565";"-0.144";"0";"-0.001";"0";"0.029";"0";"0.038";"0";"0";"0.041";"0.037";"0";"0.005";"0"
"469";"0.001";"-0.005";"0";"-0.227";"0";"0";"-0.565";"-0.144";"0";"0";"0.002";"0.028";"0";"0.039";"0";"0";"0.041";"0.037";"0";"0";"0.011"
"470";"0.005";"-0.001";"0";"-0.246";"0";"0";"-0.574";"0";"0.004";"-0.001";"0";"0.029";"0";"0.039";"0";"0";"0.041";"0";"0.034";"0.005";"0"
"471";"0";"-0.001";"0";"-0.243";"0";"0";"-0.575";"0";"0.004";"0";"0.004";"0.029";"0";"0.039";"0";"0";"0.041";"0";"0.034";"0";"0.011"
"472";"0.001";"-0.001";"0";"-0.245";"0";"0";"-0.574";"0";"0";"-0.001";"0.005";"0.029";"0";"0.039";"0";"0";"0.041";"0";"0";"0.005";"0.011"
"473";"0.01";"0.001";"0";"-0.234";"0";"0";"0";"-0.175";"0.009";"-0.007";"0";"0.029";"0";"0.04";"0";"0";"0";"0.038";"0.035";"0.005";"0"
"474";"0";"0.002";"0";"-0.23";"0";"0";"0";"-0.174";"0.007";"0";"0.004";"0.029";"0";"0.04";"0";"0";"0";"0.038";"0.035";"0";"0.011"
"475";"0";"0";"0";"-0.233";"0";"0";"0";"-0.174";"0";"-0.008";"0.008";"0.029";"0";"0.039";"0";"0";"0";"0.038";"0";"0.005";"0.011"
"476";"0";"0.005";"0";"-0.25";"0";"0";"0";"0";"0.021";"-0.008";"0.011";"0.029";"0";"0.04";"0";"0";"0";"0";"0.035";"0.005";"0.011"
"477";"0.007";"-0.055";"0";"0";"0.039";"-0.269";"-0.252";"-0.058";"0";"0";"0";"0.027";"0";"0";"0.002";"0.037";"0.043";"0.035";"0";"0";"0"
"478";"0.007";"-0.054";"0";"0";"0.04";"-0.272";"-0.254";"0";"-0.031";"0";"0";"0.027";"0";"0";"0.002";"0.037";"0.043";"0";"0.031";"0";"0"
"479";"0.008";"-0.053";"0";"0";"0.04";"-0.274";"-0.256";"0";"0";"0.005";"0";"0.027";"0";"0";"0.002";"0.037";"0.043";"0";"0";"0.005";"0"
"480";"0.008";"-0.053";"0";"0";"0.04";"-0.271";"-0.253";"0";"0";"0";"-0.018";"0.027";"0";"0";"0.002";"0.037";"0.043";"0";"0";"0";"0.01"
"481";"0.005";"-0.056";"0";"0";"0.04";"-0.357";"0";"-0.066";"-0.035";"0";"0";"0.027";"0";"0";"0.002";"0.034";"0";"0.035";"0.032";"0";"0"
"482";"0.001";"-0.055";"0";"0";"0.04";"-0.358";"0";"-0.062";"0";"0.003";"0";"0.027";"0";"0";"0.002";"0.034";"0";"0.035";"0";"0.005";"0"
"483";"0.004";"-0.055";"0";"0";"0.041";"-0.356";"0";"-0.066";"0";"0";"-0.019";"0.027";"0";"0";"0.002";"0.034";"0";"0.035";"0";"0";"0.01"
"484";"0.007";"-0.054";"0";"0";"0.041";"-0.362";"0";"0";"-0.031";"0.004";"0";"0.027";"0";"0";"0.002";"0.034";"0";"0";"0.031";"0.005";"0"
"485";"0.008";"-0.054";"0";"0";"0.041";"-0.36";"0";"0";"-0.029";"0";"-0.018";"0.027";"0";"0";"0.002";"0.034";"0";"0";"0.031";"0";"0.01"
"486";"0.007";"-0.053";"0";"0";"0.041";"-0.363";"0";"0";"0";"0.006";"-0.022";"0.027";"0";"0";"0.002";"0.034";"0";"0";"0";"0.005";"0.01"
"487";"0.005";"-0.052";"0";"0";"0.042";"0";"-0.378";"-0.069";"-0.03";"0";"0";"0.027";"0";"0";"0.002";"0";"0.039";"0.035";"0.032";"0";"0"
"488";"0.008";"-0.051";"0";"0";"0.042";"0";"-0.379";"-0.066";"0";"0.002";"0";"0.027";"0";"0";"0.002";"0";"0.039";"0.035";"0";"0.005";"0"
"489";"0.002";"-0.05";"0";"0";"0.042";"0";"-0.377";"-0.07";"0";"0";"-0.018";"0.027";"0";"0";"0.002";"0";"0.039";"0.035";"0";"0";"0.01"
"490";"0.008";"-0.05";"0";"0";"0.042";"0";"-0.383";"0";"-0.026";"0.003";"0";"0.027";"0";"0";"0.002";"0";"0.039";"0";"0.032";"0.005";"0"
"491";"0.003";"-0.049";"0";"0";"0.042";"0";"-0.381";"0";"-0.024";"0";"-0.017";"0.027";"0";"0";"0.002";"0";"0.039";"0";"0.031";"0";"0.01"
"492";"0.008";"-0.048";"0";"0";"0.042";"0";"-0.383";"0";"0";"0.005";"-0.02";"0.027";"0";"0";"0.002";"0";"0.039";"0";"0";"0.005";"0.01"
"493";"0.008";"-0.051";"0";"0";"0.044";"0";"0";"-0.083";"-0.025";"-0.001";"0";"0.027";"0";"0";"0.002";"0";"0";"0.035";"0.032";"0.005";"0"
"494";"0.007";"-0.05";"0";"0";"0.045";"0";"0";"-0.086";"-0.025";"0";"-0.019";"0.027";"0";"0";"0.002";"0";"0";"0.035";"0.032";"0";"0.01"
"495";"0.008";"-0.049";"0";"0";"0.045";"0";"0";"-0.084";"0";"0.001";"-0.02";"0.027";"0";"0";"0.002";"0";"0";"0.035";"0";"0.005";"0.01"
"496";"0.006";"-0.048";"0";"0";"0.045";"0";"0";"0";"-0.018";"0.001";"-0.018";"0.027";"0";"0";"0.002";"0";"0";"0";"0.032";"0.005";"0.01"
"497";"0";"-0.009";"0";"0";"0";"-0.437";"-0.348";"-0.147";"0.015";"0";"0";"0.028";"0";"0";"0";"0.038";"0.045";"0.037";"0.033";"0";"0"
"498";"0.009";"-0.009";"0";"0";"0";"-0.44";"-0.35";"-0.148";"0";"0.005";"0";"0.028";"0";"0";"0";"0.038";"0.045";"0.037";"0";"0.005";"0"
"499";"0.008";"-0.01";"0";"0";"0";"-0.437";"-0.348";"-0.147";"0";"0";"0.007";"0.028";"0";"0";"0";"0.038";"0.045";"0.037";"0";"0";"0.01"
"500";"0.002";"-0.004";"0";"0";"0";"-0.447";"-0.356";"0";"0.026";"0.005";"0";"0.028";"0";"0";"0";"0.038";"0.045";"0";"0.033";"0.005";"0"
"501";"0.002";"-0.006";"0";"0";"0";"-0.443";"-0.354";"0";"0.027";"0";"0.01";"0.028";"0";"0";"0";"0.038";"0.045";"0";"0.033";"0";"0.01"
"502";"0.01";"-0.005";"0";"0";"0";"-0.447";"-0.356";"0";"0";"0.004";"0.008";"0.028";"0";"0";"0";"0.038";"0.045";"0";"0";"0.005";"0.011"
"503";"0.005";"-0.008";"0";"0";"0";"-0.565";"0";"-0.156";"0.017";"0.003";"0";"0.028";"0";"0";"0";"0.035";"0";"0.037";"0.034";"0.005";"0"
"504";"0.004";"-0.009";"0";"0";"0";"-0.562";"0";"-0.155";"0.017";"0";"0.007";"0.028";"0";"0";"0";"0.035";"0";"0.037";"0.034";"0";"0.011"
"505";"0.006";"-0.009";"0";"0";"0";"-0.565";"0";"-0.157";"0";"0.002";"0.006";"0.028";"0";"0";"0";"0.035";"0";"0.037";"0";"0.005";"0.011"
"506";"0.004";"-0.005";"0";"0";"0";"-0.574";"0";"0";"0.029";"0.002";"0.009";"0.028";"0";"0";"0";"0.035";"0";"0";"0.034";"0.005";"0.011"
"507";"0.008";"0.002";"0";"0";"0";"0";"-0.567";"-0.168";"0.029";"0.001";"0";"0.029";"0";"0";"0";"0";"0.042";"0.037";"0.034";"0.005";"0"
"508";"0.002";"0.001";"0";"0";"0";"0";"-0.566";"-0.166";"0.029";"0";"0.01";"0.029";"0";"0";"0";"0";"0.041";"0.037";"0.034";"0";"0.011"
"509";"0.007";"0.001";"0";"0";"0";"0";"-0.567";"-0.169";"0";"0";"0.01";"0.029";"0";"0";"0";"0";"0.042";"0.037";"0";"0.005";"0.011"
"510";"0.002";"0.006";"0";"0";"0";"0";"-0.577";"0";"0.043";"-0.001";"0.013";"0.029";"0";"0";"0";"0";"0.042";"0";"0.034";"0.005";"0.011"
"511";"0.009";"0.007";"0";"0";"0";"0";"0";"-0.196";"0.044";"-0.007";"0.015";"0.029";"0";"0";"0";"0";"0";"0.038";"0.034";"0.005";"0.011"
"512";"0.008";"0";"-0.087";"-0.016";"0.041";"-0.278";"-0.255";"0";"0";"0";"0";"0";"0.036";"0.045";"0.002";"0.037";"0.043";"0";"0";"0";"0"
"513";"0.01";"0";"-0.084";"0.006";"0.042";"-0.363";"0";"-0.072";"0";"0";"0";"0";"0.036";"0.045";"0.002";"0.034";"0";"0.035";"0";"0";"0"
"514";"0.01";"0";"-0.077";"0.001";"0.042";"-0.366";"0";"0";"-0.014";"0";"0";"0";"0.036";"0.045";"0.002";"0.034";"0";"0";"0.032";"0";"0"
"515";"0.005";"0";"-0.077";"0.005";"0.042";"-0.368";"0";"0";"0";"0.004";"0";"0";"0.036";"0.045";"0.002";"0.034";"0";"0";"0";"0.005";"0"
"516";"0.006";"0";"-0.072";"0.001";"0.042";"-0.365";"0";"0";"0";"0";"-0.015";"0";"0.036";"0.045";"0.002";"0.034";"0";"0";"0";"0";"0.01"
"517";"0.008";"0";"-0.075";"-0.015";"0.043";"0";"-0.381";"-0.073";"0";"0";"0";"0";"0.036";"0.045";"0.002";"0";"0.039";"0.035";"0";"0";"0"
"518";"0.01";"0";"-0.068";"-0.02";"0.043";"0";"-0.385";"0";"-0.013";"0";"0";"0";"0.036";"0.045";"0.002";"0";"0.039";"0";"0.032";"0";"0"
"519";"0.008";"0";"-0.068";"-0.017";"0.043";"0";"-0.386";"0";"0";"0.002";"0";"0";"0.036";"0.045";"0.002";"0";"0.039";"0";"0";"0.005";"0"
"520";"0.003";"0";"-0.063";"-0.02";"0.043";"0";"-0.384";"0";"0";"0";"-0.015";"0";"0.036";"0.045";"0.002";"0";"0.039";"0";"0";"0";"0.01"
"521";"0.002";"0";"-0.05";"0.016";"0.045";"0";"0";"-0.088";"-0.013";"0";"0";"0";"0.036";"0.045";"0.002";"0";"0";"0.035";"0.033";"0";"0"
"522";"0.008";"0";"-0.052";"0.016";"0.045";"0";"0";"-0.087";"0";"-0.001";"0";"0";"0.036";"0.045";"0.002";"0";"0";"0.035";"0";"0.005";"0"
"523";"0.002";"0";"-0.044";"0.015";"0.045";"0";"0";"-0.089";"0";"0";"-0.017";"0";"0.036";"0.045";"0.002";"0";"0";"0.035";"0";"0";"0.01"
"524";"0.007";"0";"-0.044";"0.011";"0.046";"0";"0";"0";"-0.007";"-0.001";"0";"0";"0.036";"0.046";"0.002";"0";"0";"0";"0.033";"0.005";"0"
"525";"0.007";"0";"-0.037";"0.01";"0.046";"0";"0";"0";"-0.008";"0";"-0.016";"0";"0.036";"0.045";"0.002";"0";"0";"0";"0.032";"0";"0.01"
"526";"0.01";"0";"-0.038";"0.012";"0.046";"0";"0";"0";"0";"0.001";"-0.016";"0";"0.036";"0.045";"0.002";"0";"0";"0";"0";"0.005";"0.011"
"527";"0.003";"0";"0.085";"-0.124";"0";"-0.41";"-0.349";"-0.119";"0";"0";"0";"0";"0.037";"0.047";"0";"0.039";"0.045";"0.037";"0";"0";"0"
"528";"0.001";"0";"0.097";"-0.132";"0";"-0.414";"-0.354";"0";"-0.015";"0";"0";"0";"0.037";"0.047";"0";"0.039";"0.045";"0";"0.034";"0";"0"
"529";"0";"0";"0.097";"-0.127";"0";"-0.417";"-0.356";"0";"0";"0.004";"0";"0";"0.037";"0.047";"0";"0.039";"0.045";"0";"0";"0.005";"0"
"530";"0.01";"0";"0.095";"-0.131";"0";"-0.414";"-0.354";"0";"0";"0";"-0.001";"0";"0.037";"0.047";"0";"0.039";"0.045";"0";"0";"0";"0.011"
"531";"0.001";"0";"0.104";"-0.104";"0";"-0.536";"0";"-0.13";"-0.019";"0";"0";"0";"0.037";"0.047";"0";"0.035";"0";"0.037";"0.034";"0";"0"
"532";"0.005";"0";"0.102";"-0.1";"0";"-0.537";"0";"-0.128";"0";"0.003";"0";"0";"0.037";"0.047";"0";"0.035";"0";"0.037";"0";"0.005";"0"
"533";"0.002";"0";"0.102";"-0.102";"0";"-0.535";"0";"-0.129";"0";"0";"-0.002";"0";"0.037";"0.047";"0";"0.035";"0";"0.037";"0";"0";"0.011"
"534";"0.005";"0";"0.115";"-0.108";"0";"-0.544";"0";"0";"-0.013";"0.003";"0";"0";"0.037";"0.048";"0";"0.035";"0";"0";"0.034";"0.005";"0"
"535";"0.004";"0";"0.114";"-0.111";"0";"-0.542";"0";"0";"-0.012";"0";"-0.001";"0";"0.038";"0.047";"0";"0.035";"0";"0";"0.034";"0";"0.011"
"536";"0";"0";"0.115";"-0.107";"0";"-0.544";"0";"0";"0";"0.003";"-0.003";"0";"0.038";"0.047";"0";"0.035";"0";"0";"0";"0.005";"0.011"
"537";"0.008";"0";"0.125";"-0.136";"0";"0";"-0.551";"-0.134";"-0.018";"0";"0";"0";"0.038";"0.048";"0";"0";"0.041";"0.037";"0.034";"0";"0"
"538";"0.003";"0";"0.123";"-0.134";"0";"0";"-0.551";"-0.133";"0";"0";"0";"0";"0.037";"0.048";"0";"0";"0.042";"0.037";"0";"0.005";"0"
"539";"0";"0";"0.124";"-0.135";"0";"0";"-0.551";"-0.133";"0";"0";"-0.002";"0";"0.038";"0.048";"0";"0";"0.041";"0.037";"0";"0";"0.011"
"540";"0.008";"0";"0.136";"-0.143";"0";"0";"-0.559";"0";"-0.011";"0.001";"0";"0";"0.038";"0.048";"0";"0";"0.042";"0";"0.034";"0.005";"0"
"541";"0";"0";"0.136";"-0.144";"0";"0";"-0.558";"0";"-0.011";"0";"-0.001";"0";"0.038";"0.048";"0";"0";"0.041";"0";"0.034";"0";"0.011"
"542";"0";"0";"0.136";"-0.142";"0";"0";"-0.559";"0";"0";"0.001";"-0.001";"0";"0.038";"0.048";"0";"0";"0.042";"0";"0";"0.005";"0.011"
"543";"0.002";"0";"0.175";"-0.104";"0";"0";"0";"-0.16";"-0.01";"-0.005";"0";"0";"0.038";"0.049";"0";"0";"0";"0.038";"0.035";"0.005";"0"
"544";"0";"0";"0.179";"-0.101";"0";"0";"0";"-0.16";"-0.012";"0";"-0.003";"0";"0.038";"0.049";"0";"0";"0";"0.038";"0.035";"0";"0.011"
"545";"0.001";"0";"0.173";"-0.103";"0";"0";"0";"-0.159";"0";"-0.005";"0";"0";"0.038";"0.049";"0";"0";"0";"0.038";"0";"0.005";"0.011"
"546";"0.001";"0";"0.187";"-0.113";"0";"0";"0";"0";"0";"-0.005";"0.002";"0";"0.039";"0.049";"0";"0";"0";"0";"0.035";"0.005";"0.011"
"547";"0.006";"0";"-0.086";"0";"0.041";"-0.276";"-0.252";"-0.067";"0";"0";"0";"0";"0.03";"0";"0.002";"0.037";"0.043";"0.035";"0";"0";"0"
"548";"0.01";"0";"-0.077";"0";"0.041";"-0.278";"-0.254";"0";"-0.015";"0";"0";"0";"0.03";"0";"0.002";"0.037";"0.043";"0";"0.032";"0";"0"
"549";"0.01";"0";"-0.079";"0";"0.041";"-0.28";"-0.256";"0";"0";"0.005";"0";"0";"0.03";"0";"0.002";"0.037";"0.043";"0";"0";"0.005";"0"
"550";"0.006";"0";"-0.073";"0";"0.041";"-0.277";"-0.254";"0";"0";"0";"-0.014";"0";"0.03";"0";"0.002";"0.037";"0.043";"0";"0";"0";"0.01"
"551";"0.007";"0";"-0.083";"0";"0.042";"-0.363";"0";"-0.073";"-0.018";"0";"0";"0";"0.03";"0";"0.002";"0.034";"0";"0.035";"0.032";"0";"0"
"552";"0.007";"0";"-0.086";"0";"0.042";"-0.365";"0";"-0.072";"0";"0.003";"0";"0";"0.03";"0";"0.002";"0.034";"0";"0.035";"0";"0.005";"0"
"553";"0.004";"0";"-0.079";"0";"0.042";"-0.362";"0";"-0.074";"0";"0";"-0.015";"0";"0.03";"0";"0.002";"0.034";"0";"0.035";"0";"0";"0.01"
"554";"0.009";"0";"-0.077";"0";"0.042";"-0.368";"0";"0";"-0.015";"0.004";"0";"0";"0.03";"0";"0.002";"0.034";"0";"0";"0.032";"0.005";"0"
"555";"0.007";"0";"-0.07";"0";"0.042";"-0.365";"0";"0";"-0.014";"0";"-0.015";"0";"0.031";"0";"0.002";"0.034";"0";"0";"0.032";"0";"0.01"
"556";"0.009";"0";"-0.071";"0";"0.042";"-0.369";"0";"0";"0";"0.006";"-0.018";"0";"0.03";"0";"0.002";"0.034";"0";"0";"0";"0.005";"0.01"
"557";"0.009";"0";"-0.065";"0";"0.043";"0";"-0.38";"-0.075";"-0.017";"0";"0";"0";"0.03";"0";"0.002";"0";"0.039";"0.035";"0.032";"0";"0"
"558";"0.006";"0";"-0.068";"0";"0.043";"0";"-0.382";"-0.073";"0";"0.002";"0";"0";"0.03";"0";"0.002";"0";"0.039";"0.035";"0";"0.005";"0"
"559";"0.009";"0";"-0.061";"0";"0.043";"0";"-0.379";"-0.076";"0";"0";"-0.016";"0";"0.03";"0";"0.002";"0";"0.039";"0.035";"0";"0";"0.01"
"560";"0.007";"0";"-0.059";"0";"0.043";"0";"-0.385";"0";"-0.013";"0.002";"0";"0";"0.03";"0";"0.002";"0";"0.039";"0";"0.032";"0.005";"0"
"561";"0.007";"0";"-0.052";"0";"0.043";"0";"-0.383";"0";"-0.012";"0";"-0.015";"0";"0.031";"0";"0.002";"0";"0.039";"0";"0.032";"0";"0.01"
"562";"0.01";"0";"-0.052";"0";"0.043";"0";"-0.386";"0";"0";"0.005";"-0.018";"0";"0.03";"0";"0.002";"0";"0.039";"0";"0";"0.005";"0.01"
"563";"0.007";"0";"-0.057";"0";"0.045";"0";"0";"-0.087";"-0.013";"-0.002";"0";"0";"0.031";"0";"0.002";"0";"0";"0.035";"0.032";"0.005";"0"
"564";"0.006";"0";"-0.049";"0";"0.045";"0";"0";"-0.089";"-0.014";"0";"-0.017";"0";"0.031";"0";"0.002";"0";"0";"0.035";"0.032";"0";"0.01"
"565";"0.007";"0";"-0.051";"0";"0.045";"0";"0";"-0.088";"0";"0.001";"-0.017";"0";"0.03";"0";"0.002";"0";"0";"0.035";"0";"0.005";"0.011"
"566";"0.005";"0";"-0.041";"0";"0.046";"0";"0";"0";"-0.009";"0.001";"-0.016";"0";"0.031";"0";"0.002";"0";"0";"0";"0.032";"0.005";"0.011"
"567";"0.005";"0";"0.145";"0";"0";"-0.412";"-0.342";"-0.125";"-0.015";"0";"0";"0";"0.03";"0";"0";"0.039";"0.045";"0.037";"0.034";"0";"0"
"568";"0";"0";"0.142";"0";"0";"-0.415";"-0.345";"-0.123";"0";"0.005";"0";"0";"0.03";"0";"0";"0.039";"0.045";"0.037";"0";"0.005";"0"
"569";"0.01";"0";"0.143";"0";"0";"-0.412";"-0.342";"-0.124";"0";"0";"-0.001";"0";"0.03";"0";"0";"0.039";"0.045";"0.037";"0";"0";"0.011"
"570";"0";"0";"0.158";"0";"0";"-0.42";"-0.349";"0";"-0.01";"0.006";"0";"0";"0.03";"0";"0";"0.039";"0.045";"0";"0.034";"0.005";"0"
"571";"0.001";"0";"0.157";"0";"0";"-0.417";"-0.347";"0";"-0.007";"0";"0";"0";"0.031";"0";"0";"0.039";"0.045";"0";"0.034";"0";"0.011"
"572";"0.009";"0";"0.158";"0";"0";"-0.42";"-0.349";"0";"0";"0.006";"-0.004";"0";"0.03";"0";"0";"0.039";"0.045";"0";"0";"0.005";"0.011"
"573";"0.003";"0";"0.151";"0";"0";"-0.538";"0";"-0.133";"-0.015";"0.004";"0";"0";"0.031";"0";"0";"0.035";"0";"0.037";"0.034";"0.005";"0"
"574";"0.003";"0";"0.151";"0";"0";"-0.535";"0";"-0.134";"-0.014";"0";"-0.002";"0";"0.031";"0";"0";"0.035";"0";"0.037";"0.034";"0";"0.011"
"575";"0";"0";"0.15";"0";"0";"-0.538";"0";"-0.132";"0";"0.004";"-0.004";"0";"0.031";"0";"0";"0.035";"0";"0.037";"0";"0.005";"0.011"
"576";"0.002";"0";"0.166";"0";"0";"-0.545";"0";"0";"-0.007";"0.004";"-0.003";"0";"0.031";"0";"0";"0.035";"0";"0";"0.034";"0.005";"0.011"
"577";"0";"0";"0.188";"0";"0";"0";"-0.545";"-0.139";"-0.012";"0.002";"0";"0";"0.031";"0";"0";"0";"0.042";"0.037";"0.034";"0.005";"0"
"578";"0";"0";"0.188";"0";"0";"0";"-0.544";"-0.139";"-0.011";"0";"-0.002";"0";"0.031";"0";"0";"0";"0.041";"0.037";"0.034";"0";"0.011"
"579";"0.008";"0";"0.187";"0";"0";"0";"-0.545";"-0.138";"0";"0.002";"-0.003";"0";"0.031";"0";"0";"0";"0.042";"0.037";"0";"0.005";"0.011"
"580";"0.002";"0";"0.203";"0";"0";"0";"-0.553";"0";"-0.003";"0.002";"-0.001";"0";"0.031";"0";"0";"0";"0.042";"0";"0.034";"0.005";"0.011"
"581";"0.004";"0";"0.222";"0";"0";"0";"0";"-0.163";"-0.005";"-0.004";"0";"0";"0.032";"0";"0";"0";"0";"0.038";"0.035";"0.005";"0.011"
"582";"0.006";"0";"0";"0.051";"0.04";"-0.27";"-0.249";"-0.06";"0";"0";"0";"0";"0";"0.037";"0.002";"0.037";"0.043";"0.035";"0";"0";"0"
"583";"0.007";"0";"0";"0.04";"0.04";"-0.272";"-0.252";"0";"-0.025";"0";"0";"0";"0";"0.038";"0.002";"0.037";"0.043";"0";"0.032";"0";"0"
"584";"0.01";"0";"0";"0.047";"0.04";"-0.275";"-0.253";"0";"0";"0.005";"0";"0";"0";"0.037";"0.002";"0.037";"0.043";"0";"0";"0.005";"0"
"585";"0.007";"0";"0";"0.038";"0.04";"-0.272";"-0.251";"0";"0";"0";"-0.017";"0";"0";"0.037";"0.002";"0.037";"0.043";"0";"0";"0";"0.01"
"586";"0.008";"0";"0";"0.058";"0.041";"-0.357";"0";"-0.068";"-0.026";"0";"0";"0";"0";"0.038";"0.002";"0.034";"0";"0.035";"0.032";"0";"0"
"587";"0.004";"0";"0";"0.066";"0.041";"-0.359";"0";"-0.066";"0";"0.004";"0";"0";"0";"0.037";"0.002";"0.034";"0";"0.035";"0";"0.005";"0"
"588";"0.008";"0";"0";"0.057";"0.041";"-0.356";"0";"-0.069";"0";"0";"-0.018";"0";"0";"0.037";"0.002";"0.034";"0";"0.035";"0";"0";"0.01"
"589";"0.008";"0";"0";"0.055";"0.041";"-0.363";"0";"0";"-0.023";"0.004";"0";"0";"0";"0.038";"0.002";"0.034";"0";"0";"0.032";"0.005";"0"
"590";"0.007";"0";"0";"0.046";"0.041";"-0.36";"0";"0";"-0.021";"0";"-0.017";"0";"0";"0.038";"0.002";"0.034";"0";"0";"0.032";"0";"0.01"
"591";"0.006";"0";"0";"0.052";"0.041";"-0.364";"0";"0";"0";"0.007";"-0.021";"0";"0";"0.037";"0.002";"0.034";"0";"0";"0";"0.005";"0.01"
"592";"0.009";"0";"0";"0.033";"0.042";"0";"-0.376";"-0.07";"-0.025";"0";"0";"0";"0";"0.038";"0.002";"0";"0.039";"0.035";"0.032";"0";"0"
"593";"0.01";"0";"0";"0.039";"0.042";"0";"-0.377";"-0.068";"0";"0.003";"0";"0";"0";"0.037";"0.002";"0";"0.039";"0.035";"0";"0.005";"0"
"594";"0.009";"0";"0";"0.03";"0.042";"0";"-0.375";"-0.071";"0";"0";"-0.018";"0";"0";"0.038";"0.002";"0";"0.039";"0.035";"0";"0";"0.01"
"595";"0.003";"0";"0";"0.028";"0.042";"0";"-0.382";"0";"-0.021";"0.003";"0";"0";"0";"0.038";"0.002";"0";"0.039";"0";"0.032";"0.005";"0"
"596";"0.01";"0";"0";"0.02";"0.042";"0";"-0.38";"0";"-0.02";"0";"-0.017";"0";"0";"0.038";"0.002";"0";"0.039";"0";"0.032";"0";"0.01"
"597";"0.01";"0";"0";"0.025";"0.042";"0";"-0.382";"0";"0";"0.005";"-0.02";"0";"0";"0.037";"0.002";"0";"0.039";"0";"0";"0.005";"0.01"
"598";"0.006";"0";"0";"0.049";"0.045";"0";"0";"-0.084";"-0.018";"-0.001";"0";"0";"0";"0.038";"0.002";"0";"0";"0.035";"0.032";"0.005";"0"
"599";"0.001";"0";"0";"0.042";"0.045";"0";"0";"-0.087";"-0.018";"0";"-0.018";"0";"0";"0.038";"0.002";"0";"0";"0.035";"0.032";"0";"0.01"
"600";"0.004";"0";"0";"0.046";"0.045";"0";"0";"-0.086";"0";"0.001";"-0.019";"0";"0";"0.038";"0.002";"0";"0";"0.035";"0";"0.005";"0.01"
"601";"0.002";"0";"0";"0.035";"0.045";"0";"0";"0";"-0.012";"0.001";"-0.018";"0";"0";"0.038";"0.002";"0";"0";"0";"0.032";"0.005";"0.01"
"602";"0";"0";"0";"-0.19";"0";"-0.419";"-0.356";"-0.127";"-0.013";"0";"0";"0";"0";"0.039";"0";"0.038";"0.045";"0.037";"0.034";"0";"0"
"603";"0.004";"0";"0";"-0.185";"0";"-0.42";"-0.357";"-0.126";"0";"0.004";"0";"0";"0";"0.038";"0";"0.039";"0.045";"0.037";"0";"0.005";"0"
"604";"0.002";"0";"0";"-0.187";"0";"-0.418";"-0.355";"-0.126";"0";"0";"0.001";"0";"0";"0.038";"0";"0.038";"0.045";"0.037";"0";"0";"0.011"
"605";"0";"0";"0";"-0.202";"0";"-0.426";"-0.363";"0";"-0.006";"0.004";"0";"0";"0";"0.039";"0";"0.039";"0.045";"0";"0.034";"0.005";"0"
"606";"0.002";"0";"0";"-0.203";"0";"-0.424";"-0.361";"0";"-0.005";"0";"0.003";"0";"0";"0.039";"0";"0.038";"0.045";"0";"0.034";"0";"0.011"
"607";"0.003";"0";"0";"-0.201";"0";"-0.426";"-0.362";"0";"0";"0.004";"0.001";"0";"0";"0.038";"0";"0.039";"0.045";"0";"0";"0.005";"0.011"
"608";"0";"0";"0";"-0.178";"0";"-0.55";"0";"-0.138";"-0.009";"0.002";"0";"0";"0";"0.039";"0";"0.035";"0";"0.037";"0.034";"0.005";"0"
"609";"0.003";"0";"0";"-0.178";"0";"-0.548";"0";"-0.138";"-0.009";"0";"0.001";"0";"0";"0.039";"0";"0.035";"0";"0.037";"0.034";"0";"0.011"
"610";"0.007";"0";"0";"-0.176";"0";"-0.549";"0";"-0.137";"0";"0.002";"0.001";"0";"0";"0.039";"0";"0.035";"0";"0.037";"0";"0.005";"0.011"
"611";"0.004";"0";"0";"-0.192";"0";"-0.557";"0";"0";"0";"0.001";"0.003";"0";"0";"0.039";"0";"0.035";"0";"0";"0.034";"0.005";"0.011"
"612";"0";"0";"0";"-0.229";"0";"0";"-0.565";"-0.144";"-0.005";"-0.001";"0";"0";"0";"0.039";"0";"0";"0.041";"0.037";"0.034";"0.005";"0"
"613";"0";"0";"0";"-0.228";"0";"0";"-0.565";"-0.144";"-0.005";"0";"0.002";"0";"0";"0.039";"0";"0";"0.041";"0.037";"0.034";"0";"0.011"
"614";"0";"0";"0";"-0.227";"0";"0";"-0.564";"-0.143";"0";"-0.001";"0.003";"0";"0";"0.039";"0";"0";"0.041";"0.037";"0";"0.005";"0.011"
"615";"0.004";"0";"0";"-0.244";"0";"0";"-0.574";"0";"0.005";"-0.001";"0.005";"0";"0";"0.039";"0";"0";"0.041";"0";"0.034";"0.005";"0.011"
