"ID";"target";"eta_df";"multiplic";"shift";"epsilon_df";"meanshift";"strength";"F_id";"N";"pvSet_1";"pvSet_2";"pvSet_3";"pvSet_4";"pvSet_5";"pvSet_6";"pvSet_7";"pvSet_8";"pvSet_9";"pvSet_10";"pvSet_11";"pvSet_12";"pvSet_13";"pvSet_14";"pvSet_15";"pvSet_16";"pvSet_17";"pvSet_18";"pvSet_19";"pvSet_20";"pvSet_21";"pvSet_22";"pvSet_23";"pvSet_24";"pvSet_25";"pvSet_26";"pvSet_27";"pvSet_28";"pvSet_29";"pvSet_30";"pvSet_31"
"q-155757";"Z_1";"20";"product";"FALSE";"20";"2";"0.1";"softplus";"5000";"0";"0";"0";"0.1501";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"k-707848";"Z_5";"20";"product";"TRUE";"20";"2";"0";"softplus";"5000";"1.2688";"1.3166";"1.2552";"1.2636";"0.6215";"1.307";"1.2567";"1.29";"0.7068";"1.3132";"1.3206";"0.6254";"1.27";"0.9674";"0.695";"1.2991";"1.3151";"0.3071";"1.2694";"0.8696";"0.7778";"1.3209";"0.8517";"0.6959";"1.0888";"1.306";"0.9547";"0.6029";"0.9763";"0.9822";"1.0541"
"y-177353";"Z_6";"100";"product";"FALSE";"100";"2";"10";"square";"5000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"u-552210";"Z_4";"10";"sum";"TRUE";"10";"0.2";"0.2";"cubic";"5000";"0.6457";"0.2506";"0.6424";"0.2769";"0.5105";"1.4501";"1.223";"1.0237";"0.6596";"0.2398";"0.88";"0.2292";"1.0072";"0.0905";"0.2796";"0.8824";"1.4622";"1.7904";"0.7371";"0.2252";"0.2371";"0.6284";"0.053";"0.3047";"0.0094";"0.8692";"0.0555";"1.7828";"0.2221";"0.0659";"0.0562"
"h-350724";"Z_4";"3";"sum";"FALSE";"3";"0.5";"5";"square";"5000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"p-446239";"Z_1";"3";"sum";"TRUE";"3";"2";"0.2";"softplus";"5000";"0";"0.004";"0.8912";"0.849";"0.705";"0";"0";"0";"0";"0.0025";"0.004";"0.0038";"0.8887";"0.7604";"0.5374";"0";"0";"0";"0";"0";"0";"0.0024";"0.0022";"0.0037";"0.581";"0";"0";"0";"0";"0.0022";"0"
"n-402619";"Z_4";"2";"product";"FALSE";"2";"0.2";"0.2";"softplus";"5000";"0";"0";"1.9877";"0";"1.5872";"0";"1.9856";"0";"1.5822";"1.9876";"0";"1.5839";"1.9878";"1.3787";"1.4215";"1.9853";"0";"0.876";"1.9857";"1.5199";"1.419";"1.9878";"1.4119";"1.4177";"1.1994";"1.9854";"1.9756";"1.3996";"1.3014";"1.2148";"1.9699"
"t-334920";"Z_1";"100";"product";"FALSE";"100";"5";"0";"cubic";"5000";"0";"0.3107";"0.3036";"0.2332";"0.3035";"0";"0";"0";"0";"0.45";"0.3253";"0.4495";"0.3172";"0.3638";"0.3172";"0";"0";"0";"0";"0";"0";"0.4863";"0.4393";"0.4858";"0.3849";"0";"0";"0";"0";"0.5074";"0"
"o-815515";"Z_3";"10";"product";"TRUE";"10";"10";"0";"log";"5000";"0.4675";"0.5989";"0.1981";"1.4286";"1.1303";"0.572";"0.1426";"0.4419";"0.5823";"0.1086";"0.5978";"0.6447";"0.2062";"0.3949";"0.3474";"0.2106";"0.548";"0.4976";"0.1418";"0.3348";"0.3027";"0.1084";"0.1276";"0.3141";"0.2691";"0.2098";"0.4574";"0.4329";"0.1994";"0.0884";"0.3022"
"h-635052";"Z_2";"10";"sum";"FALSE";"10";"0.1";"0.5";"square";"5000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"w-963838";"Z_1";"100";"sum";"FALSE";"100";"1";"2";"cubic";"5000";"0";"0.5977";"0.7344";"0.6841";"0.7345";"0";"0";"0";"0";"0.6141";"0.5872";"0.6153";"0.7237";"0.7448";"0.7238";"0";"0";"0";"0";"0";"0";"0.6032";"0.6357";"0.6044";"0.7658";"0";"0";"0";"0";"0.6246";"0"
"g-655705";"Z_3";"10";"sum";"TRUE";"10";"5";"5";"cubic";"5000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"h-138442";"Z_6";"5";"product";"TRUE";"5";"0.1";"2";"square";"5000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"e-385536";"Z_1";"10";"sum";"TRUE";"10";"1";"10";"square";"5000";"0.294";"0.0083";"0.5261";"0.4919";"0.4259";"0";"0.3369";"0.2633";"0.0294";"0.0043";"0.008";"0.0281";"0.5024";"0.4341";"0.3987";"0";"0";"0";"0.3116";"0.0629";"0.0386";"0.0041";"0.0035";"0.0291";"0.4057";"0";"0";"0";"0.0799";"0.003";"0"
