"ID";"target";"eta_df";"multiplic";"shift";"epsilon_df";"meanshift";"strength";"F_id";"N";"pvSet_1";"pvSet_2";"pvSet_3";"pvSet_4";"pvSet_5";"pvSet_6";"pvSet_7";"pvSet_8";"pvSet_9";"pvSet_10";"pvSet_11";"pvSet_12";"pvSet_13";"pvSet_14";"pvSet_15";"pvSet_16";"pvSet_17";"pvSet_18";"pvSet_19";"pvSet_20";"pvSet_21";"pvSet_22";"pvSet_23";"pvSet_24";"pvSet_25";"pvSet_26";"pvSet_27";"pvSet_28";"pvSet_29";"pvSet_30";"pvSet_31"
"b-667379";"Z_1";"3";"sum";"TRUE";"3";"0.5";"1";"cubic";"2000";"0.1829";"0.2273";"0.5449";"0.911";"0.5449";"0.1846";"0.2264";"0.1277";"0.1562";"0.2273";"0.3414";"0.3646";"0.851";"0.4374";"0.6626";"0.2367";"0.1274";"0.2055";"0.1542";"0.1943";"0.1683";"0.484";"0.3646";"0.4458";"0.5396";"0.1639";"0.2055";"0.2049";"0.2029";"0.4457";"0.2049"
"p-554854";"Z_2";"100";"sum";"TRUE";"100";"0.5";"0.2";"log";"2000";"1.7365";"0.0166";"2e-04";"0.2116";"1.6512";"0.0399";"1.9059";"1.7029";"1.8721";"0.0229";"0.0136";"0.0154";"2e-04";"0.0166";"0.0016";"0.0452";"0.0439";"0.0398";"1.9529";"1.9908";"0.1853";"0.0184";"0.0212";"0.0132";"0.0094";"0.0513";"0.0451";"0.0436";"0.3194";"0.0171";"0.0496"
"q-104253";"Z_4";"10";"product";"TRUE";"10";"10";"1";"square";"2000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"a-699243";"Z_1";"3";"product";"FALSE";"3";"5";"0.2";"cubic";"2000";"0";"0.2078";"0.4194";"0.4299";"0.4186";"0";"0.1488";"0";"0.1495";"0.271";"0.2458";"0.2714";"0.4403";"0.3049";"0.4383";"0.003";"0";"0.0031";"0.1496";"0.0471";"0.1502";"0.2799";"0.2927";"0.2795";"0.32";"0.003";"5e-04";"0.0031";"0.0471";"0.2971";"5e-04"
"e-775762";"Z_2";"2";"product";"TRUE";"2";"10";"2";"softplus";"2000";"5e-04";"0";"0";"0";"0";"0";"4e-04";"5e-04";"9e-04";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4e-04";"7e-04";"1e-04";"0";"0";"0";"0";"0";"0";"0";"1e-04";"0";"0"
"l-489862";"Z_1";"20";"product";"TRUE";"20";"1";"0.2";"log";"2000";"0";"0";"0";"0.3959";"8e-04";"0";"0";"0";"0";"0";"0";"0";"0";"0.074";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"d-204379";"Z_3";"100";"sum";"TRUE";"100";"0.2";"0.2";"square";"2000";"0.0415";"0.063";"0.0743";"0.0534";"0.7823";"0.0074";"0.0694";"0.0536";"1.3591";"0.0689";"0.0589";"0.3927";"0.0736";"1.5116";"1.6571";"0.0107";"0.0079";"0.8408";"0.0673";"1.3878";"1.9225";"0.0675";"0.8873";"1.6702";"1.7026";"0.0101";"0.7389";"0.8656";"1.94";"1.7134";"0.8225"
"z-700137";"Z_6";"20";"sum";"FALSE";"20";"2";"2";"square";"2000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"g-972552";"Z_3";"3";"sum";"TRUE";"3";"0.1";"0.2";"square";"2000";"0.1265";"0.0335";"0.04";"0.0212";"0.1088";"0.5311";"0.1532";"0.1259";"0.3866";"0.0532";"0.0335";"0.742";"0.0401";"0.9883";"0.534";"0.5311";"0.5079";"0.172";"0.1524";"0.7941";"0.3961";"0.0534";"1.0117";"0.5595";"0.6519";"0.5114";"0.3146";"0.4595";"0.2359";"0.6775";"0.2285"
"c-648988";"Z_3";"20";"product";"TRUE";"20";"0";"5";"softplus";"2000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"b-735904";"Z_4";"100";"product";"TRUE";"100";"5";"1";"softplus";"2000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"a-795552";"Z_3";"10";"product";"FALSE";"10";"10";"0.5";"cubic";"2000";"4e-04";"0";"0";"0";"0";"0";"0";"5e-04";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"k-873410";"Z_4";"50";"sum";"FALSE";"50";"2";"10";"square";"2000";"0.069";"0";"0.03";"0.0506";"0.1566";"0.066";"0.0199";"0.0092";"0.1249";"3e-04";"0";"0.0018";"0.0107";"0.0452";"7e-04";"0.0324";"0.0091";"0.109";"0.0089";"0.0451";"0.0739";"7e-04";"6e-04";"1e-04";"0.0793";"0.0161";"0.0418";"0.0708";"0.067";"7e-04";"0.064"
"q-712854";"Z_1";"20";"sum";"FALSE";"20";"0.5";"0";"cubic";"2000";"0";"0.0046";"0.7471";"1.9181";"1.8568";"0";"0";"0";"0";"0";"0.0044";"0.8406";"0.7056";"1.7268";"1.8895";"0";"0";"0";"0";"0";"0";"0";"0.2799";"0.7931";"1.6781";"0";"0";"0";"0";"0.2679";"0"
