"ID";"target";"eta_df";"multiplic";"shift";"epsilon_df";"meanshift";"strength";"F_id";"N";"pvSet_1";"pvSet_2";"pvSet_3";"pvSet_4";"pvSet_5";"pvSet_6";"pvSet_7";"pvSet_8";"pvSet_9";"pvSet_10";"pvSet_11";"pvSet_12";"pvSet_13";"pvSet_14";"pvSet_15";"pvSet_16";"pvSet_17";"pvSet_18";"pvSet_19";"pvSet_20";"pvSet_21";"pvSet_22";"pvSet_23";"pvSet_24";"pvSet_25";"pvSet_26";"pvSet_27";"pvSet_28";"pvSet_29";"pvSet_30";"pvSet_31"
"p-237809";"Z_4";"5";"sum";"FALSE";"5";"5";"0";"square";"500";"0.7245";"0.6821";"5e-04";"0.6576";"0";"0.7008";"0.5658";"0.7172";"0.5457";"0.0097";"0.6765";"0";"0.0078";"0.2508";"0.0028";"0.6425";"0.6872";"0.6725";"0.1755";"0.7684";"0.1008";"0.0029";"0.754";"0.0011";"0.0236";"0.2614";"0.751";"0.1842";"0.3805";"0.0134";"0.4806"
"v-901189";"Z_2";"100";"product";"TRUE";"100";"10";"0.1";"square";"500";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"q-664515";"Z_3";"50";"sum";"TRUE";"50";"2";"2";"square";"500";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"x-867530";"Z_4";"5";"sum";"TRUE";"5";"2";"0.1";"cubic";"500";"0";"0";"0.0098";"0";"2e-04";"0.0019";"0.1021";"0";"2e-04";"0.007";"1e-04";"0.0321";"0.0126";"0.3554";"2e-04";"0.2218";"0.002";"0.1255";"0.1028";"1.0756";"3e-04";"0.0083";"0.7076";"0.045";"0.3879";"0.2231";"0.4195";"0.1265";"1.1058";"1.0767";"0.4073"
"r-439107";"Z_5";"20";"product";"TRUE";"20";"1";"2";"softplus";"500";"0.0799";"0.0692";"0.0658";"0.0607";"0";"0.0824";"0.0776";"0.0896";"0";"0.0685";"0.0748";"0";"0.0685";"0";"0";"0.0794";"0.0956";"0";"0.0862";"0";"0";"0.0737";"0";"0";"0";"0.0942";"0";"0";"0";"0";"0"
"d-120465";"Z_6";"10";"product";"FALSE";"10";"1";"5";"square";"500";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"q-484020";"Z_5";"50";"sum";"TRUE";"50";"10";"1";"square";"500";"0.1621";"0.2009";"0.9688";"0.4223";"1e-04";"0.1627";"0.8403";"0.236";"0.9851";"0.5559";"0.2921";"0.9351";"0.7716";"0.0401";"1.1241";"0.538";"0.228";"0.9265";"0.5316";"0.2845";"0.9804";"0.4579";"0.8716";"0.927";"0.2239";"0.4869";"0.9301";"0.9426";"0.222";"0.3288";"0.3573"
"m-989802";"Z_1";"10";"sum";"TRUE";"10";"0.1";"10";"softplus";"500";"0.7602";"0.8865";"1.0375";"1.0023";"1.3252";"0.0028";"0.8064";"0.7157";"0.5576";"0.8032";"1.1733";"1.5014";"0.9512";"1.4725";"0.9988";"0.0019";"0.0096";"0.0845";"0.737";"0.7199";"0.0666";"0.9931";"1.3822";"1.5502";"0.9796";"0.0074";"0.0564";"0.1294";"0.0918";"1.4876";"0.0923"
"y-949593";"Z_1";"20";"sum";"TRUE";"20";"0.1";"5";"softplus";"500";"0";"0.2412";"1.0298";"1.0347";"0.146";"0";"0";"0";"0";"0.7905";"0.3761";"0.3426";"0.9992";"0.8657";"0.2412";"0";"0";"0";"0";"0";"0";"0.8728";"0.7975";"1.1026";"0.8744";"0";"0";"0";"0";"1.0379";"0"
"o-369409";"Z_5";"100";"sum";"TRUE";"100";"0.5";"0.1";"log";"500";"0.2596";"0.2698";"0.2363";"0.2934";"1.2284";"0.2601";"0.2525";"0.2656";"0.0865";"0.2333";"0.2885";"0.504";"0.2583";"1.2549";"1.1338";"0.2831";"0.2574";"0.4296";"0.2802";"1.548";"0.55";"0.2573";"1.2846";"1.4893";"1.3069";"0.305";"1.6057";"0.5592";"1.6419";"1.3048";"1.5911"
"q-426907";"Z_2";"2";"product";"FALSE";"2";"0.5";"0";"log";"500";"4e-04";"0.0461";"0";"0";"0";"0.1012";"4e-04";"4e-04";"5e-04";"0.0418";"0.0434";"0.0433";"0";"0";"0";"0.1011";"0.0942";"0.0966";"4e-04";"6e-04";"0.0018";"0.0392";"0.0384";"0.044";"0";"0.0934";"0.0949";"0.0951";"0.0018";"0.0389";"0.0955"
"a-938856";"Z_1";"100";"sum";"FALSE";"100";"0";"0";"softplus";"500";"0";"0.9626";"1.3157";"1.1485";"1.0934";"0";"0";"0";"0";"1.0932";"0.9779";"0.7732";"1.2721";"1.1661";"1.2244";"0";"0";"0";"0";"0";"1e-04";"1.0553";"1.0315";"1.1187";"1.1942";"0";"0";"0";"0";"1.0578";"0"
"f-457900";"Z_4";"100";"product";"TRUE";"100";"5";"0.1";"square";"500";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"c-827091";"Z_2";"20";"sum";"FALSE";"20";"5";"0.5";"square";"500";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"u-318005";"Z_2";"2";"sum";"TRUE";"2";"0.2";"0.1";"square";"500";"0.1254";"1.28";"0.2732";"0.842";"0.4639";"0.1312";"0.1254";"0.1254";"0.1264";"0.6592";"0.5408";"1.2733";"0.6331";"0.2843";"1.1512";"0.1322";"0.1312";"0.1302";"0.1254";"0.1264";"0.1264";"0.4222";"0.6749";"0.595";"0.568";"0.1322";"0.1312";"0.1522";"0.1264";"0.5442";"0.1522"
"e-393148";"Z_5";"50";"product";"TRUE";"50";"5";"1";"log";"500";"0.0262";"0.0289";"0.0277";"0.0232";"0";"0.021";"0.0301";"0.0193";"0";"0.0315";"0.0208";"0";"0.0209";"0";"0";"0.0286";"0.0187";"0";"0.0236";"0";"0";"0.0256";"0";"0";"0";"0.0253";"0";"0";"0";"0";"0"
"m-296957";"Z_3";"20";"product";"TRUE";"20";"0.5";"10";"log";"500";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"v-477839";"Z_3";"100";"sum";"FALSE";"100";"2";"0.2";"log";"500";"2e-04";"0";"0.1273";"0";"0";"0.0163";"7e-04";"3e-04";"0";"0";"0";"0";"0.117";"0.0053";"0";"0.0145";"0.0157";"0.0078";"0.001";"2e-04";"0";"0";"0";"0";"0";"0.0146";"0.0065";"0";"0";"0";"0"
"w-732571";"Z_2";"10";"product";"TRUE";"10";"5";"0.5";"cubic";"500";"0.3892";"0";"0";"0";"0";"0.5721";"0.5253";"0.2471";"0.5172";"0";"0";"0";"0";"0";"0";"0.5989";"0.4001";"0.6004";"0.3714";"0.6516";"0.3642";"0";"0";"0";"0";"0.4067";"0.5065";"0.4012";"0.4617";"0";"0.3434"
"c-180717";"Z_3";"100";"product";"TRUE";"100";"0.1";"0.5";"log";"500";"0.0022";"0";"0.1048";"1.5595";"0.2858";"0.6102";"0.0142";"0.0026";"0.028";"1e-04";"0";"0.0026";"0.1049";"0.5193";"0.4575";"0.6791";"0.6296";"0.6087";"0.0172";"0.107";"0.1485";"1e-04";"0.0132";"0.3195";"0.0837";"0.6632";"0.4875";"0.6433";"0.146";"0.0295";"0.5186"
"z-606983";"Z_1";"2";"sum";"FALSE";"2";"5";"1";"log";"500";"0";"0.0087";"0.1887";"0.3519";"0";"0";"0";"0";"0";"0";"0.0281";"0";"0.1846";"0";"0";"0.0353";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0.0381";"0.0398";"0";"0";"0";"0.0377"
"f-101818";"Z_4";"100";"sum";"FALSE";"100";"0.2";"0.2";"log";"500";"0.3303";"0.0264";"0.083";"0";"0";"0.3199";"0.0994";"0.3024";"0.1368";"0.1044";"0.0228";"0.1199";"0.1215";"0.0862";"0.0964";"0.098";"0.3069";"0.1407";"0.1438";"0.1038";"0.2779";"0.1505";"0.1093";"0.2813";"0.1231";"0.144";"0.1021";"0.338";"0.1447";"0.1512";"0.1453"
"h-934462";"Z_2";"3";"sum";"TRUE";"3";"0.5";"0.5";"softplus";"500";"1.6342";"1.8225";"0.0374";"1.7904";"1.802";"1.7082";"1.644";"1.5896";"1.7026";"0.0059";"1.8208";"1.8213";"0.5429";"0.016";"1.7965";"1.7186";"1.6761";"1.6987";"1.5973";"1.7127";"1.6312";"0.1771";"0.0127";"1.7921";"0.3276";"1.6873";"1.7122";"1.6679";"1.6425";"0.3472";"1.6815"
"p-865014";"Z_4";"10";"sum";"FALSE";"10";"2";"1";"log";"500";"0";"0";"0.466";"0";"0";"0";"0.4441";"0";"0";"0.4315";"0";"0";"0.4278";"0.5013";"0";"0.4282";"0";"0";"0.4074";"0.4711";"0";"0.3965";"0.4546";"0";"0.4575";"0.3892";"0.451";"0";"0.4223";"0.4035";"0.3997"
"p-276019";"Z_6";"5";"product";"TRUE";"5";"0.5";"0.5";"cubic";"500";"9e-04";"0.0032";"0.3437";"0.193";"0";"0.0711";"0.0246";"0.1292";"0.001";"0.6855";"0.4032";"0.0037";"0.3674";"0.4998";"0.3047";"0.7543";"0.6484";"0.064";"0.0144";"0.022";"0.1227";"0.3392";"0.5922";"0.3292";"0.4008";"0.9273";"0.7616";"0.645";"0.0125";"0.3246";"0.9286"
"x-271916";"Z_2";"20";"sum";"TRUE";"20";"1";"2";"log";"500";"0.3354";"0";"0";"0";"0";"0.1275";"0.3284";"0.4025";"0.2256";"0";"0";"0";"0";"0";"0";"0.1275";"0.1645";"0.1284";"0.39";"0.2417";"0.2757";"0";"0";"0";"0";"0.1641";"0.1284";"0.1505";"0.2802";"0";"0.1502"
"v-906332";"Z_4";"5";"sum";"TRUE";"5";"0.2";"0.1";"log";"500";"0.8427";"0.6217";"1.4669";"0.8802";"1.3439";"0.9554";"1.4736";"1.009";"0.6469";"1.5105";"0.7026";"0.5213";"1.432";"1.5044";"0.8847";"1.4906";"1.1767";"0.761";"1.4523";"1.5157";"1.3197";"1.5106";"1.565";"1.1522";"1.2722";"1.4485";"1.5302";"1.3495";"1.3193";"1.3133";"1.3009"
"u-166143";"Z_5";"50";"product";"FALSE";"50";"0.1";"0";"cubic";"500";"0.2978";"0.3611";"0.4234";"0.4079";"0.1178";"0.3557";"0.3064";"0.3008";"0.0957";"0.2584";"0.3001";"0.1167";"0.4186";"0.1262";"0.1272";"0.2739";"0.3128";"0.1037";"0.3109";"0.0962";"0.101";"0.243";"0.1004";"0.1129";"0.1261";"0.2574";"0.095";"0.1018";"0.0942";"0.0909";"0.0892"
"r-249888";"Z_5";"2";"product";"FALSE";"2";"0";"10";"softplus";"500";"1.6193";"0.2503";"0.8063";"1.5617";"0.0177";"1.6196";"1.619";"1.5533";"0.0274";"1.6355";"1.5598";"0.0296";"1.5572";"0.0163";"0.0423";"1.6194";"1.5518";"0.0399";"1.5506";"0.0276";"0.0505";"1.5558";"0.0304";"0.0908";"0.0196";"1.5494";"0.0507";"0.1202";"0.0437";"0.0831";"0.1098"
